dista [mm],"L(Current1,Current1) [uH]","L(Current3,Current1) [uH]","L(Current3,Current3) [uH]","CplCoef(Current1,Current3) []",Data_Type
0,188.1924498,160.9990549,183.9760355,0.865249986,Maxwell_Simulation
0.020002,188.1189809,160.9063478,183.9013329,0.865081983,
0.040004,188.0455513,160.8136881,183.8266705,0.864913991,
0.060006001,187.9721612,160.7210757,183.7520485,0.864746012,
0.080008001,187.8988107,160.6285108,183.6774669,0.864578044,
0.100010001,187.8254999,160.5359934,183.6029259,0.864410087,
0.120012001,187.752229,160.4435238,183.5284257,0.864242143,
0.140014001,187.678998,160.3511019,183.4539663,0.86407421,
0.160016002,187.605807,160.258728,183.379548,0.863906289,
0.180018002,187.5326563,160.166402,183.3051709,0.863738379,
0.200020002,187.4595458,160.0741241,183.2308351,0.863570481,
0.220022002,187.3864758,159.9818944,183.1565408,0.863402595,
0.240024002,187.3134463,159.8897129,183.082288,0.86323472,
0.260026003,187.2404575,159.7975799,183.008077,0.863066858,
0.280028003,187.1675095,159.7054954,182.9339079,0.862899006,
0.300030003,187.0946024,159.6134595,182.8597808,0.862731167,
0.320032003,187.0217363,159.5214722,182.7856959,0.862563339,
0.340034003,186.9489114,159.4295338,182.7116533,0.862395523,
0.360036004,186.8761277,159.3376443,182.6376531,0.862227719,
0.380038004,186.8033854,159.2458037,182.5636955,0.862059926,
0.400040004,186.7306846,159.1540123,182.4897807,0.861892145,
0.420042004,186.6580254,159.0622701,182.4159087,0.861724376,
0.440044004,186.585408,158.9705772,182.3420798,0.861556618,
0.460046005,186.5128324,158.8789337,182.268294,0.861388872,
0.480048005,186.4402988,158.7873397,182.1945515,0.861221138,
0.500050005,186.3678073,158.6957953,182.1208525,0.861053415,
0.520052005,186.2953581,158.6043006,182.047197,0.860885705,
0.540054005,186.2229511,158.5128558,181.9735853,0.860718005,
0.560056006,186.1505866,158.4214608,181.9000174,0.860550318,
0.580058006,186.0782647,158.3301159,181.8264936,0.860382642,
0.600060006,186.0059855,158.2388211,181.7530139,0.860214978,
0.620062006,185.9337491,158.1475765,181.6795785,0.860047326,
0.640064006,185.8615557,158.0563823,181.6061875,0.859879685,
0.660066007,185.7894053,157.9652385,181.5328411,0.859712057,
0.680068007,185.717298,157.8741452,181.4595394,0.859544439,
0.700070007,185.6452341,157.7831025,181.3862825,0.859376834,
0.720072007,185.5732136,157.6921105,181.3130707,0.85920924,
0.740074007,185.5012366,157.6011694,181.239904,0.859041658,
0.760076008,185.4293033,157.5102792,181.1667826,0.858874088,
0.780078008,185.3574137,157.4194401,181.0937066,0.858706529,
0.800080008,185.285568,157.3286521,181.0206762,0.858538983,
0.820082008,185.2137663,157.2379153,180.9476915,0.858371447,
0.840084008,185.1420088,157.1472299,180.8747526,0.858203924,
0.860086009,185.0702955,157.0565959,180.8018597,0.858036412,
0.880088009,184.9986266,156.9660134,180.729013,0.857868912,
0.900090009,184.9270022,156.8754826,180.6562125,0.857701424,
0.920092009,184.8554223,156.7850036,180.5834585,0.857533948,
0.940094009,184.7838872,156.6945763,180.510751,0.857366483,
0.96009601,184.712397,156.6042011,180.4380902,0.85719903,
0.98009801,184.6409517,156.5138779,180.3654762,0.857031588,
1.00010001,184.5695515,156.4236068,180.2929093,0.856864159,
1.02010201,184.4981965,156.333388,180.2203894,0.856696741,
1.04010401,184.4268868,156.2432215,180.1479168,0.856529335,
1.060106011,184.3556225,156.1531075,180.0754916,0.85636194,
1.080108011,184.2844039,156.0630461,180.003114,0.856194558,
1.100110011,184.2132309,155.9730373,179.9307841,0.856027187,
1.120112011,184.1421037,155.8830813,179.858502,0.855859828,
1.140114011,184.0710224,155.7931781,179.7862678,0.85569248,
1.160116012,183.9999872,155.7033279,179.7140818,0.855525145,
1.180118012,183.9289981,155.6135308,179.641944,0.855357821,
1.200120012,183.8580553,155.5237868,179.5698547,0.855190509,
1.220122012,183.7871589,155.4340961,179.4978138,0.855023208,
1.240124012,183.716309,155.3444588,179.4258217,0.854855919,
1.260126013,183.6455058,155.2548749,179.3538784,0.854688643,
1.280128013,183.5747493,155.1653446,179.281984,0.854521377,
1.300130013,183.5040396,155.075868,179.2101387,0.854354124,
1.320132013,183.433377,154.9864452,179.1383427,0.854186882,
1.340134013,183.3627615,154.8970762,179.0665961,0.854019652,
1.360136014,183.2921932,154.8077612,178.994899,0.853852434,
1.380138014,183.2216723,154.7185003,178.9232516,0.853685228,
1.400140014,183.1511989,154.6292936,178.851654,0.853518033,
1.420142014,183.080773,154.5401412,178.7801064,0.85335085,
1.440144014,183.0103949,154.4510432,178.7086088,0.853183679,
1.460146015,182.9400646,154.3619996,178.6371615,0.85301652,
1.480148015,182.8697822,154.2730106,178.5657646,0.852849372,
1.500150015,182.7995479,154.1840764,178.4944181,0.852682236,
1.520152015,182.7293618,154.0951969,178.4231224,0.852515112,
1.540154015,182.659224,154.0063723,178.3518775,0.852348,
1.560156016,182.5891346,153.9176027,178.2806835,0.852180899,
1.580158016,182.5190938,153.8288882,178.2095405,0.852013811,
1.600160016,182.4491017,153.7402289,178.1384489,0.851846734,
1.620162016,182.3791583,153.6516249,178.0674086,0.851679668,
1.640164016,182.3092638,153.5630763,177.9964198,0.851512615,
1.660166017,182.2394184,153.4745832,177.9254826,0.851345573,
1.680168017,182.1696221,153.3861457,177.8545973,0.851178544,
1.700170017,182.0998751,153.2977639,177.7837639,0.851011525,
1.720172017,182.0301774,153.2094379,177.7129825,0.850844519,
1.740174017,181.9605293,153.1211679,177.6422534,0.850677525,
1.760176018,181.8909307,153.0329538,177.5715767,0.850510542,
1.780178018,181.821382,152.9447959,177.5009524,0.850343571,
1.800180018,181.751883,152.8566941,177.4303808,0.850176612,
1.820182018,181.6824341,152.7686487,177.359862,0.850009664,
1.840184018,181.6130352,152.6806597,177.2893961,0.849842729,
1.860186019,181.5436866,152.5927272,177.2189833,0.849675805,
1.880188019,181.4743883,152.5048514,177.1486237,0.849508893,
1.900190019,181.4051405,152.4170322,177.0783175,0.849341993,
1.920192019,181.3359433,152.3292699,177.0080647,0.849175104,
1.940194019,181.2667967,152.2415645,176.9378656,0.849008227,
1.96019602,181.197701,152.1539162,176.8677203,0.848841363,
1.98019802,181.1286562,152.0663249,176.7976289,0.84867451,
2.00020002,181.0596624,151.9787909,176.7275915,0.848507668,
2.02020202,180.9907198,151.8913142,176.6576084,0.848340839,
2.04020402,180.9218285,151.803895,176.5876795,0.848174021,
2.060206021,180.8529887,151.7165333,176.5178052,0.848007215,
2.080208021,180.7842003,151.6292292,176.4479855,0.847840421,
2.100210021,180.7154637,151.5419829,176.3782206,0.847673639,
2.120212021,180.6467787,151.4547944,176.3085106,0.847506869,
2.140214021,180.5781457,151.3676638,176.2388556,0.84734011,
2.160216022,180.5095647,151.2805913,176.1692559,0.847173363,
2.180218022,180.4410358,151.1935769,176.0997114,0.847006628,
2.200220022,180.3725592,151.1066208,176.0302225,0.846839905,
2.220222022,180.3041349,151.019723,175.9607891,0.846673193,
